trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9194312560951247}",30,0,-114.70380959402193,"{0: 19, 1: 7, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-147.98347112778265,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
44,False,"{'a': 0.002, 'e': 0.9157608767233256}",30,0,-92.22438186191731,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9139311852712282}",25,0,-185.6863633668146,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
46,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-147.76631493162114,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.910282762240767}",25,0,-234.92135300656597,"{0: 14, 1: 2, 2: 2, 3: 3, 4: 4}",0
48,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-95.56981399805152,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9066489037539209}",35,3,-55.66695426241924,"{0: 23, 1: 5, 2: 2, 3: 2, 4: 0}",1
50,False,"{'a': 0.002, 'e': 0.9048374180359595}",20,0,-80.5343550539366,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-149.75714061139374,"{0: 5, 1: 4, 2: 10, 3: 0, 4: 1}",1
52,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-77.56340498741689,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.899424648075924}",25,0,-128.50866307843785,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-86.74721827509443,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
55,False,"{'a': 0.002, 'e': 0.8958341352965282}",35,0,-102.21736404041528,"{0: 23, 1: 5, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,13,1.9404910333212975,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-104.42445466349514,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8904752232974726}",30,0,-110.8391443417668,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
59,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-151.89378395716642,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
60,False,"{'a': 0.002, 'e': 0.8869204367171575}",25,0,-121.95083428238671,"{0: 13, 1: 6, 2: 3, 3: 2, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8851483685026271}",35,0,-156.5244827419247,"{0: 24, 1: 5, 2: 2, 3: 1, 4: 3}",0
62,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-23.462277099695932,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.002, 'e': 0.8816148467834161}",30,0,-258.4638728050547,"{0: 16, 1: 2, 2: 5, 3: 3, 4: 4}",0
64,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-102.1235849952686,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.8780954309205613}",25,0,-283.0687943048167,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 5}",0
66,False,"{'a': 0.002, 'e': 0.8763409950793732}",30,0,-42.93844131385918,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
67,False,"{'a': 0.002, 'e': 0.874590064603334}",35,0,-87.0426358431163,"{0: 22, 1: 5, 2: 7, 3: 1, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-173.9681717604096,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-120.27263923091944,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
70,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-26.707547479953764,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.002, 'e': 0.867621256485914}",20,6,6.076709789105825,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-81.81875719637074,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-47.729677601556794,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-79.46402995503855,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8607079764250578}",30,0,-162.9062889053882,"{0: 20, 1: 0, 2: 7, 3: 0, 4: 3}",0
76,False,"{'a': 0.002, 'e': 0.8589882807411234}",30,0,-52.28057763787743,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.002, 'e': 0.8572720210114575}",25,0,-133.23151309822154,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8555591903710185}",35,0,-165.5259764599055,"{0: 25, 1: 1, 2: 3, 3: 4, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-102.07650818699908,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
